id;ten_thuoc;duong_dung;so_luong;cach_dung;hoat_chat;d_vt;don_gia;thanh_tien;loai_tt_cu;loai_tt_moi;lieu_dung;k_s
1;exploit line e-business;SAS bleeding-edge;52260;proactive;payment bluetooth maximized;one-to-one;26938;78371;Music eco-centric;Group hacking Baby;transmit Bedfordshire Russian;digital
2;Operations;RAM Parks matrix;43081;Kroon;e-commerce Nuevo bluetooth;bandwidth;33414;75593;capacitor system rich;Intelligent Plastic;Bacon wireless Forks;International Account
3;Account Spur Applications;Island Health;21734;Gloves;Cheese hack;bandwidth Cheese;3467;30754;data-warehouse blue auxiliary;Tala parse FTP;Future monitor;whiteboard Practical
4;Market;Georgia Mississippi Sausages;40546;hacking Licensed Interface;foreground technologies bottom-line;driver Corporate;41501;69114;secured Beauty quantify;Health;Industrial;Regional
5;Product International Cambridgeshire;Bacon Games;99741;overriding Loan cyan;fuchsia;mindshare;29343;97771;Street;didactic Iranian back-end;viral;Rubber Tools Arizona
6;exuding calculate Sleek;bandwidth parse;57719;e-services;firewall;Florida Som Square;20940;8228;Towels Keyboard;Jersey;e-enable;Account invoice SMS
7;Dollar;Drives Bacon AI;80440;Soft;bluetooth Wyoming Indiana;payment transmitter embrace;34701;65715;Metal expedite;Intelligent Investor firewall;transmitting Nuevo;expedite granular Investment
8;Architect;incubate;47671;Steel;Legacy Morocco Upgradable;framework invoice Movies;49075;35166;Marino;Designer;client-driven Account;Salad
9;convergence;Buckinghamshire;58166;driver grey;Pennsylvania Costa Gorgeous;Music Mission Money;41071;9460;scalable;program Home;application seize green;Lucia payment
10;cross-platform Architect;Card;4125;Sausages generation Architect;Hat silver;Accounts Soap Computer;41361;87385;Run experiences;transmitting networks;Vision-oriented Refined;Security
